id|imsi|imei|cell|lac|event_type|event_ts
1|257865245|18065935567874|6226|75|5|20/12/2020 01:25
2||50776639104737|5234|80|4|16/12/2020 02:17
3|248622693|31066209199051|4755|33|9|27/12/2020 05:06
4|866701003|61338362724146|2814|48|2|30/12/2020 15:47
5|570476314|32094161834833|3944|24||12/12/2020 10:04
6|314240287|12335667771826|5757|56|6|11/12/2020 09:49
7|305086458|20751395545290|1967|78|1|27/12/2020 19:57
8|719398339|67031154154082||76|4|30/12/2020 19:54
9|856150031|98591624192001|1870|15|5|25/12/2020 03:32
10|419999500|45077904630108|2309|31|8|29/12/2020 13:34
11|651502443|30182041661613|8583|88|6|
12|349932947|56872332696514|4487|87|6|08/12/2020 07:22
13|889798900|73574489815827|2794|95|8|01/12/2020 19:25
14|303061908||6781|37|7|11/12/2020 16:30
15|748085639|48921806040508|1250|99|5|31/12/2020 12:59
16|248541071|66564579936064|5469|84|6|31/12/2020 18:32
17|336539526|29651938322281|9089|12|2|18/12/2020 01:05
18|968476578|49084526315007|1433|47|7|07/12/2020 21:12
19|806478272|81747335545519|3652|35|9|17/12/2020 07:32
20|865268815|59610400453192|3770|76|9|27/12/2020 18:59
